ucr_code,primary_description,secondary_description
3803,misc. crimes against person,kidnapping-1
3804,misc. crimes against person,kidnapping-2
3805,misc. crimes against person,un restraint 1
3806,misc. crimes against person,un restraint 2
3807,misc. crimes against person,neglgnt homicide
3830,misc. crimes against person,transporting corpse
3900,animal complaint,animal complnt
3901,animal complaint,animal complnt
3902,animal complaint,dog laws-misc
3903,animal complaint,cruelty/animal
3904,animal complaint,animal bite
3907,animal complaint,removal dog litter
3944,animal complaint,owner dangerous dog
4000,suicide,suicides
4010,suicide,hanging-suici
4011,suicide,hanging-fatal
4012,suicide,hanging-att
4020,suicide,drugs-suicide
4021,suicide,drugs-fatal
4022,suicide,drugs-att
4030,suicide,razor-suicide
4031,suicide,razor-fatal
4032,suicide,razor-att
4040,suicide,gun-suicide
4041,suicide,gun-fatal
4042,suicide,gun-att-suic
4050,suicide,suicide-other
4051,suicide,suicide-fatal
4052,suicide,suicide-att
4100,sudden death,sudden death
4200,care for sick,sick care for
4300,mental case,emotionally disturbed
4400,misc. wants,misc wants
4401,misc. wants,wanted outside
4402,misc. wants,a-w-o-l
4403,misc. wants,lodger
4404,misc. wants,re-arrest
4405,misc. wants,take into custody order
4500,missing case,missing case
4600,juvenile-related,status offender
4601,juvenile-related,runaway youth
4602,juvenile-related,uncontrol youth
4603,juvenile-related,immoral youth
4604,juvenile-related,habitual truant
4605,juvenile-related,truancy
4606,juvenile-related,return to school - 16 or ov
4700,connecting case,connecting case
4800,airplane accident,airplane accidents
4801,airplane accident,airplane-fatal
4802,airplane accident,airplane-pers inj
4803,airplane accident,airplane-prop dam
4900,shooting,pd-shooting
4901,shooting,fatal shooting
4902,shooting,shooting-inj
4903,shooting,shooting-miss
5000,justifiable homicide,homicide/just
5100,misc. management info.,misc mgt info
5101,misc. management info.,gang related
5102,misc. management info.,forcible entry by pd
5103,misc. management info.,standing complaint
5104,misc. management info.,comm tension;comm-service
5105,misc. management info.,notification(s),directed pa
5106,misc. management info.,mgmnt info 06
5107,misc. management info.,mgmnt info 07
5108,misc. management info.,mgmnt info 08
5109,misc. management info.,mgmnt info 09
5110,misc. management info.,mgmnt info 10
5111,misc. management info.,mgmnt info 11
5112,misc. management info.,mgmnt info 12
5113,misc. management info.,mgmnt info 13
5114,misc. management info.,mgmnt info 14
5115,misc. management info.,mgmnt info 15
5116,misc. management info.,mgmnt info 16
5117,misc. management info.,mgmnt info 17
5118,misc. management info.,mgmnt info 18
5119,misc. management info.,mgmnt info 19
5120,misc. management info.,private tows/reposession -
5121,misc. management info.,sex offender registry vio
5122,misc. management info.,metal theft
5123,misc. management info.,distracted drivers
5130,misc. management info.,drive by shooting
5140,misc. management info.,ploygraph - admin
5141,misc. management info.,ploygraph - criminal
5150,misc. management info.,k-9 serv ot
5210,shots fired,shots fired - confirmed
5211,shots fired,shots fired - unconfirmed
5212,shots fired,shots spotter
5220,shots fired,comp-crime-ucr#2
5300,landlord-tenant,landlord - tenant
5500,report-related,duplicate case
5510,report-related,no case info - unable to cl
5520,report-related,case drawn in error
5525,report-related,skeleton report
5550,report-related,report returned - unaccepta
9000,unknown,unknown
